drug_a,drug_b,severity,description,source
ciprofloxacin,warfarin,high,Ciprofloxacin inhibits CYP1A2 and alters gut flora reducing vitamin K synthesis thereby increasing warfarin effect. Monitor INR during and after ciprofloxacin.,clinical_reference
ciprofloxacin,theophylline,high,Ciprofloxacin inhibits theophylline metabolism via CYP1A2 causing elevated theophylline levels and toxicity risk (seizures cardiac arrhythmias).,clinical_reference
valproate,aspirin,moderate,High-dose aspirin displaces valproate from protein binding and inhibits its metabolism increasing free valproate levels and toxicity risk.,clinical_reference
carbamazepine,valproate,moderate,Carbamazepine induces valproate metabolism reducing its levels. Valproate also affects carbamazepine metabolite levels. Monitor levels of both drugs.,clinical_reference
phenytoin,valproate,moderate,Valproate inhibits phenytoin metabolism and displaces it from protein binding causing variable and unpredictable phenytoin levels. Monitor closely.,clinical_reference
metformin,contrast_dye,high,Iodinated contrast media can cause acute kidney injury in patients taking metformin leading to lactic acidosis. Hold metformin 48 hours before and after contrast.,clinical_reference
azathioprine,allopurinol,contraindicated,Allopurinol inhibits xanthine oxidase the enzyme responsible for azathioprine metabolism causing severe azathioprine toxicity including bone marrow suppression. Contraindicated or require 75% dose reduction.,clinical_reference
mercaptopurine,allopurinol,contraindicated,Allopurinol blocks mercaptopurine metabolism leading to life-threatening bone marrow suppression and hepatotoxicity. Contraindicated or reduce mercaptopurine dose by 75%.,clinical_reference
clopidogrel,aspirin,moderate,Dual antiplatelet therapy increases bleeding risk. While used intentionally in ACS treatment the combination requires monitoring for GI and other bleeding.,clinical_reference
apixaban,aspirin,moderate,Combining direct oral anticoagulants with antiplatelet agents increases major bleeding risk. Generally avoid unless benefit clearly outweighs risk.,clinical_reference
rivaroxaban,aspirin,moderate,Anticoagulant combined with antiplatelet agent increases bleeding risk. Monitor for signs of bleeding.,clinical_reference
oxycodone,alprazolam,high,CNS depressant combination (opioid + benzodiazepine) increases risk of profound sedation respiratory depression coma and death. Avoid concurrent use.,clinical_reference
morphine,diazepam,high,Opioids combined with benzodiazepines cause additive CNS and respiratory depression. Can be fatal. Avoid concurrent use or use lowest doses with close monitoring.,clinical_reference
codeine,alprazolam,high,Opioid plus benzodiazepine combination is associated with increased risk of respiratory depression and overdose death.,clinical_reference
hydroxychloroquine,azithromycin,high,Both drugs prolong QT interval. Concurrent use significantly increases risk of fatal cardiac arrhythmias including torsades de pointes.,clinical_reference
clarithromycin,sotalol,contraindicated,Clarithromycin prolongs QT interval and combined with sotalol (which also prolongs QT) greatly increases risk of torsades de pointes.,clinical_reference
amiodarone,sotalol,contraindicated,Both amiodarone and sotalol prolong cardiac repolarization. Combination greatly increases risk of ventricular arrhythmias and torsades de pointes.,clinical_reference
